Title,Cluster,,Possible Cluster Values
digital media manager,Marketing,,Marketing
founder and sensory principal and product research contract scientist,Other,,Data Analytics
marketing,Marketing,,IT Engineering
"director, revenue marketing and operation",Marketing,,Other
"director, digital development",Marketing,,
marketing strategist,Marketing,,
"associate manager, creative services",Other,,
marketing executive,Marketing,,
digital coordinator marketing,Marketing,,
"vice president, product marketing",Marketing,,
"manager, marketing",Marketing,,
chief digital officer,Marketing,,
account supervisor,Other,,
manager marketing,Marketing,,
manager-marketing,Marketing,,
digital crm specialist,Marketing,,
digital director marketing,Marketing,,
"director, digital guest experience s.e.a.",Marketing,,
"vice president, private brands",Marketing,,
marketing innovation leader,Marketing,,
"director, marketing operations",Marketing,,
"vice president, marketing",Marketing,,
position in product marketing lead,Marketing,,
position in social media development,Marketing,,
graduate research assistant,Other,,
chief officer marketing,Marketing,,
qantas and jetstar media digital director sales,Marketing,,
marketing specialist,Marketing,,
"director, business development and marketing",Marketing,,
seo,Marketing,,
marketing expert,Marketing,,
senior account manager,Other,,
"senior manager, inside sales and marketing",Marketing,,
associate researcher,Other,,
marketing assistant and manager,Marketing,,
marketing programs manager,Marketing,,
"director, marketing",Marketing,,
research manager,Other,,
"director, marketing and branding",Marketing,,
digital transformer / consultant,Other,,
director marketing,Marketing,,
"director, marketing ops and demand gen",Marketing,,
marketing assistant,Marketing,,
demand generation manager,Marketing,,
directeur de clientèle digital,Marketing,,
"senior manager, marketing services",Marketing,,
vice president marketing,Marketing,,
market research manager,Marketing,,
account manager,Other,,
assistant marketing communications manager,Marketing,,
"senior manager, marketing and communications",Marketing,,
marketing manager,Marketing,,
major account manager,Other,,
senior manager marketing,Marketing,,
head of ecommerce,Other,,
marketing consultant,Marketing,,
"director, accounts and strategist",Other,,
retention lead,Other,,
senior manager global marketing,Marketing,,
head of digital,Marketing,,
ecommerce manager,Other,,
client account manager,Other,,
global marketing strategist,Marketing,,
managing marketing and advertising partner,Marketing,,
account director,Other,,
of brand content brand project manager (jordan),Marketing,,
"vice president, marketing and sales",Marketing,,
"director, marketing and category development",Marketing,,
marketing senior manager,Marketing,,
"assistant director, cluster of marketing",Marketing,,
"senior manager, seo",Marketing,,
digital marketeer chief,Marketing,,
head of marketing,Marketing,,
account executive,Other,,
senior strategic account executive,Other,,
agile engagement manager,Marketing,,
head of digital channels,Marketing,,
statistical research specialist,Other,,
"director, product management, research metrics",Other,,
researcher at university of alicante,Other,,
performance manager marketing,Marketing,,
digital experience manager,Marketing,,
coordinator marketing,Marketing,,
digital marketing,Marketing,,
cco,Other,,
principal researcher,Other,,
officer marketing,Marketing,,
social media coordinator,Marketing,,
sales and manager marketing,Marketing,,
creative director,Marketing,,
digital leadership graduate,Other,,
director sales ops and customer engagement,Marketing,,
global social media manager,Marketing,,
